City,Population
St. Augustine,"13,867"
Azalea Park,"13,848"
Middleburg,"13,511"
Elfers,"13,375"
Fruitville,"13,333"
Destin,"13,312"
Homosassa Springs,"13,273"
Thonotosassa,"13,227"
East Milton,"13,222"
Mount Dora,"13,204"
Palmetto,"13,138"
Atlantic Beach,"13,089"
Key Biscayne,"12,935"
Gladeview,"12,899"
Warrington,"12,894"
Goldenrod,"12,659"
North Palm Beach,"12,581"
South Daytona,"12,470"
Lakeland Highlands,"12,426"
Panama City Beach,"12,333"
Wilton Manors,"12,270"
Hudson,"12,257"
Gulfport,"12,222"
Yulee,"12,217"
South Miami,"12,207"
Jensen Beach,"12,178"
Fernandina Beach,"12,156"
Lake City,"12,137"
Westwood Lakes,"12,119"
Florida City,"12,076"
Mango,"11,916"
Holly Hill,"11,839"
Jupiter Farms,"11,809"
Lakewood Park,"11,706"
Cypress Lake,"11,656"
Cocoa Beach,"11,466"
Shady Hills,"11,288"
Port St. John,"11,223"
Westview,"11,157"
Orange City,"11,127"
Pine Castle,"11,095"
Viera East,"11,090"
Lantana,"11,016"
Lighthouse Point,"10,946"
Doctor Phillips,"10,878"
Villas,"10,871"
Goulds,"10,861"
Miami Shores,"10,772"
Gulf Gate Estates,"10,676"
Cheval,"10,645"
Groveland,"10,643"
Union Park,"10,623"
Satellite Beach,"10,495"
Port Salerno,"10,487"
Fairview Shores,"10,450"
West Perrine,"10,435"
Sebring,"10,423"
Palatka,"10,407"
Minneola,"10,371"
Trinity,"10,334"
Cape Canaveral,"10,116"
Highland City,"10,100"
Naranja,"10,068"
Avon Park,"10,052"
Key Largo,"10,024"
Bee Ridge,"9,998"
Richmond Heights,"9,881"
Nocatee,"9,836"
Gateway,"9,699"
Pine Ridge CDP,"9,554"
Alachua,"9,553"
St. Pete Beach,"9,528"
New Port Richey East,"9,463"
Milton,"9,462"
Fuller Heights,"9,453"
Springfield,"9,318"
Hernando,"9,300"
Laurel,"9,235"
Bithlo and Gifford,"9,218"
Marianna,"9,157"
Beverly Hills,"9,073"
Bardmoor,"9,008"
Citrus Springs,"8,912"
Westgate,"8,898"
